mcdi_wordendings_raw,gender,age,mcdi_wordendings_inter_ptile_within,mcdi_wordendings_inter_ptile_both
28,F,24,>99,>99
29,F,24,>99,>99
30,F,24,>99,>99
31,F,24,>99,>99
32,F,24,>99,>99
33,F,24,>99,>99
34,F,24,>99,>99
35,F,24,>99,>99
36,F,24,>99,>99
37,F,24,>99,>99
38,F,24,>99,>99
39,F,24,>99,>99
40,F,24,>99,>99
41,F,24,>99,>99
42,F,24,>99,>99
43,F,24,>99,>99
44,F,24,>99,>99
45,F,24,>99,>99
0,F,25,45,50
1,F,25,60,65
2,F,25,70,70
3,F,25,72.5,80
4,F,25,75,82.5
5,F,25,80,85
6,F,25,85,90
7,F,25,87.5,91.25
8,F,25,90,92.5
9,F,25,91.667,93.75
10,F,25,93.333,95
11,F,25,95,95.333
12,F,25,95.714,95.667
13,F,25,96.429,96
14,F,25,97.143,96.333
15,F,25,97.857,96.667
16,F,25,98.571,97
17,F,25,99.286,97.333
18,F,25,>99,97.667
19,F,25,>99,98
20,F,25,>99,98.333
21,F,25,>99,98.667
22,F,25,>99,99
23,F,25,>99,99.333
24,F,25,>99,99.667
25,F,25,>99,>99
26,F,25,>99,>99
27,F,25,>99,>99
28,F,25,>99,>99
29,F,25,>99,>99
30,F,25,>99,>99
31,F,25,>99,>99
32,F,25,>99,>99
33,F,25,>99,>99
34,F,25,>99,>99
35,F,25,>99,>99
36,F,25,>99,>99
37,F,25,>99,>99
38,F,25,>99,>99
39,F,25,>99,>99
40,F,25,>99,>99
41,F,25,>99,>99
42,F,25,>99,>99
43,F,25,>99,>99
44,F,25,>99,>99
45,F,25,>99,>99
0,F,26,40,50
1,F,26,50,55
2,F,26,60,65
3,F,26,65,70
4,F,26,70,75
5,F,26,72.5,80
6,F,26,75,82.5
7,F,26,80,85
8,F,26,85,87.5
9,F,26,87.5,90
10,F,26,90,91.667
11,F,26,91.667,93.333
12,F,26,93.333,95
13,F,26,95,95.333
14,F,26,95.833,95.667
15,F,26,96.667,96
16,F,26,97.5,96.333
17,F,26,98.333,96.667
18,F,26,99.167,97
19,F,26,>99,97.333
20,F,26,>99,97.667
21,F,26,>99,98
22,F,26,>99,98.333
23,F,26,>99,98.667
24,F,26,>99,99
25,F,26,>99,99.333
26,F,26,>99,99.667
27,F,26,>99,>99
28,F,26,>99,>99
29,F,26,>99,>99
30,F,26,>99,>99
31,F,26,>99,>99
32,F,26,>99,>99
