mcdi_wordforms_raw,gender,age,mcdi_wordforms_inter_ptile_within,mcdi_wordforms_inter_ptile_both
17,F,23,93.75,95.833
18,F,23,95,96.667
19,F,23,96.25,97.5
20,F,23,97.5,98.333
21,F,23,98.75,99.167
22,F,23,99,>99
23,F,23,>99,>99
24,F,23,>99,>99
25,F,23,>99,>99
0,F,24,15,20
1,F,24,30,30
2,F,24,35,45
3,F,24,45,50
4,F,24,50,55
5,F,24,55,65
6,F,24,60,67.5
7,F,24,65,70
8,F,24,70,75
9,F,24,75,77.5
10,F,24,77.5,80
11,F,24,80,85
12,F,24,82.5,86.667
13,F,24,85,88.333
14,F,24,86.667,90
15,F,24,88.333,91.25
16,F,24,90,92.5
17,F,24,91.25,93.75
18,F,24,92.5,95
19,F,24,93.75,96
20,F,24,95,97
21,F,24,96.667,98
22,F,24,98.333,99
23,F,24,99,>99
24,F,24,>99,>99
25,F,24,>99,>99
0,F,25,10,15
1,F,25,20,25
2,F,25,30,30
3,F,25,35,45
4,F,25,40,50
5,F,25,50,55
6,F,25,99,99
7,F,25,60,65
8,F,25,62.5,67.5
9,F,25,65,70
10,F,25,70,75
11,F,25,75,80
12,F,25,77.5,82.5
13,F,25,80,85
14,F,25,82.5,86.667
15,F,25,85,88.333
16,F,25,87.5,90
17,F,25,90,91.25
18,F,25,91.25,92.5
19,F,25,92.5,93.75
20,F,25,93.75,95
21,F,25,95,96.25
22,F,25,96.667,97.5
23,F,25,98.333,98.75
24,F,25,99,>99
25,F,25,>99,>99
0,F,26,5,5
1,F,26,15,20
2,F,26,20,25
3,F,26,25,30
4,F,26,30,40
5,F,26,35,45
6,F,26,40,50
7,F,26,45,55
8,F,26,50,60
9,F,26,55,62.5
10,F,26,60,65
11,F,26,65,70
12,F,26,70,75
13,F,26,75,80
14,F,26,77.5,82.5
15,F,26,80,85
16,F,26,82.5,86.667
17,F,26,85,88.333
18,F,26,87.5,90
19,F,26,90,91.667
20,F,26,91.25,93.333
21,F,26,92.5,95
22,F,26,93.75,96.667
23,F,26,95,98.333
24,F,26,99,99
25,F,26,>99,>99
