mcdi_tgestures_raw,gender,age,mcdi_tgestures_inter_ptile
58,F,16,96.667
59,F,16,98.333
60,F,16,99
61,F,16,>99
62,F,16,>99
63,F,16,>99
0,F,17,<5
1,F,17,<5
2,F,17,<5
3,F,17,<5
4,F,17,<5
5,F,17,<5
6,F,17,<5
7,F,17,<5
8,F,17,<5
9,F,17,<5
10,F,17,<5
11,F,17,<5
12,F,17,<5
13,F,17,<5
14,F,17,<5
15,F,17,<5
16,F,17,<5
17,F,17,<5
18,F,17,<5
19,F,17,<5
20,F,17,<5
21,F,17,<5
22,F,17,<5
23,F,17,<5
24,F,17,<5
25,F,17,<5
26,F,17,<5
27,F,17,<5
28,F,17,<5
29,F,17,<5
30,F,17,<5
31,F,17,<5
32,F,17,<5
33,F,17,<5
34,F,17,<5
35,F,17,<5
36,F,17,10
37,F,17,15
38,F,17,16.667
39,F,17,18.333
40,F,17,20
41,F,17,22.5
42,F,17,25
43,F,17,30
44,F,17,31.667
45,F,17,33.333
46,F,17,45
47,F,17,47.5
48,F,17,60
49,F,17,65
50,F,17,70
51,F,17,72.5
52,F,17,80
53,F,17,82.5
54,F,17,85
55,F,17,87.5
56,F,17,90
57,F,17,95
58,F,17,96.667
59,F,17,98.333
60,F,17,99
61,F,17,>99
62,F,17,>99
63,F,17,>99
0,F,18,<5
1,F,18,<5
2,F,18,<5
3,F,18,<5
4,F,18,<5
5,F,18,<5
6,F,18,<5
7,F,18,<5
8,F,18,<5
9,F,18,<5
10,F,18,<5
11,F,18,<5
12,F,18,<5
13,F,18,<5
14,F,18,<5
15,F,18,<5
16,F,18,<5
17,F,18,<5
18,F,18,<5
19,F,18,<5
20,F,18,<5
21,F,18,<5
22,F,18,<5
23,F,18,<5
24,F,18,<5
25,F,18,<5
26,F,18,<5
27,F,18,<5
28,F,18,<5
29,F,18,<5
30,F,18,<5
31,F,18,<5
32,F,18,<5
33,F,18,<5
34,F,18,<5
35,F,18,<5
36,F,18,10
37,F,18,15
38,F,18,16.667
39,F,18,18.333
40,F,18,20
41,F,18,22.5
42,F,18,25
43,F,18,30
44,F,18,31.667
45,F,18,33.333
46,F,18,45
47,F,18,47.5
48,F,18,60
49,F,18,65
50,F,18,70
51,F,18,72.5
52,F,18,80
53,F,18,82.5
54,F,18,85
55,F,18,87.5
56,F,18,90
57,F,18,95
58,F,18,96.667
59,F,18,98.333
60,F,18,99
61,F,18,>99
62,F,18,>99
63,F,18,>99
0,M,6,<5
1,M,6,<5
2,M,6,5
3,M,6,6.667
4,M,6,8.333
5,M,6,15
6,M,6,25
7,M,6,30
8,M,6,40
9,M,6,50
10,M,6,60
11,M,6,65
12,M,6,70
13,M,6,75
14,M,6,80
15,M,6,82.5
16,M,6,85
17,M,6,86.667
18,M,6,88.333
19,M,6,90
20,M,6,91.667
21,M,6,93.333
22,M,6,95
23,M,6,97.5
24,M,6,99
25,M,6,>99
26,M,6,>99
27,M,6,>99
28,M,6,>99
29,M,6,>99
30,M,6,>99
31,M,6,>99
32,M,6,>99
33,M,6,>99
34,M,6,>99
35,M,6,>99
36,M,6,>99
37,M,6,>99
38,M,6,>99
39,M,6,>99
40,M,6,>99
41,M,6,>99
42,M,6,>99
43,M,6,>99
44,M,6,>99
45,M,6,>99
46,M,6,>99
47,M,6,>99
48,M,6,>99
49,M,6,>99
50,M,6,>99
51,M,6,>99
52,M,6,>99
53,M,6,>99
54,M,6,>99
55,M,6,>99
56,M,6,>99
57,M,6,>99
58,M,6,>99
59,M,6,>99
60,M,6,>99
61,M,6,>99
62,M,6,>99
63,M,6,>99
0,M,7,<5
1,M,7,<5
2,M,7,5
3,M,7,6.667
4,M,7,8.333
5,M,7,15
6,M,7,25
7,M,7,30
8,M,7,40
9,M,7,50
10,M,7,60
11,M,7,65
12,M,7,70
13,M,7,75
14,M,7,80
15,M,7,82.5
16,M,7,85
17,M,7,86.667
18,M,7,88.333
19,M,7,90
20,M,7,91.667
21,M,7,93.333
22,M,7,95
23,M,7,97.5
24,M,7,99
25,M,7,>99
26,M,7,>99
27,M,7,>99
28,M,7,>99
29,M,7,>99
30,M,7,>99
31,M,7,>99
32,M,7,>99
33,M,7,>99
34,M,7,>99
35,M,7,>99
36,M,7,>99
37,M,7,>99
