mcdi_lgestures_raw,gender,age,mcdi_lgestures_inter_ptile
20,F,9,98
21,F,9,99
22,F,9,>99
23,F,9,>99
24,F,9,>99
25,F,9,>99
26,F,9,>99
27,F,9,>99
28,F,9,>99
29,F,9,>99
30,F,9,>99
31,F,9,>99
32,F,9,>99
33,F,9,>99
34,F,9,>99
35,F,9,>99
36,F,9,>99
37,F,9,>99
38,F,9,>99
39,F,9,>99
40,F,9,>99
41,F,9,>99
42,F,9,>99
43,F,9,>99
44,F,9,>99
45,F,9,>99
1,F,10,<5
2,F,10,5
3,F,10,10
4,F,10,25
5,F,10,27.5
6,F,10,40
7,F,10,50
8,F,10,55
9,F,10,57.5
10,F,10,65
11,F,10,70
12,F,10,75
13,F,10,77.5
14,F,10,80
15,F,10,82.5
16,F,10,85
17,F,10,90
18,F,10,91.25
19,F,10,92.5
20,F,10,93.75
21,F,10,95
22,F,10,96
23,F,10,97
24,F,10,98
25,F,10,99
26,F,10,>99
27,F,10,>99
28,F,10,>99
29,F,10,>99
30,F,10,>99
31,F,10,>99
32,F,10,>99
33,F,10,>99
34,F,10,>99
35,F,10,>99
36,F,10,>99
37,F,10,>99
38,F,10,>99
39,F,10,>99
40,F,10,>99
41,F,10,>99
42,F,10,>99
43,F,10,>99
44,F,10,>99
45,F,10,>99
1,F,11,<5
2,F,11,<5
3,F,11,5
4,F,11,10
5,F,11,15
6,F,11,25
7,F,11,27.5
8,F,11,35
9,F,11,40
10,F,11,50
11,F,11,52.5
12,F,11,55
13,F,11,65
14,F,11,70
15,F,11,72.5
16,F,11,75
17,F,11,77.5
18,F,11,80
19,F,11,82.5
20,F,11,85
21,F,11,90
22,F,11,91
23,F,11,92
24,F,11,93
25,F,11,94
26,F,11,95
27,F,11,96
28,F,11,97
29,F,11,98
30,F,11,99
31,F,11,>99
32,F,11,>99
33,F,11,>99
34,F,11,>99
35,F,11,>99
36,F,11,>99
37,F,11,>99
38,F,11,>99
39,F,11,>99
40,F,11,>99
41,F,11,>99
42,F,11,>99
43,F,11,>99
44,F,11,>99
45,F,11,>99
1,F,12,<5
2,F,12,<5
3,F,12,<5
4,F,12,<5
5,F,12,5
6,F,12,10
7,F,12,12.5
8,F,12,20
9,F,12,25
10,F,12,27.5
11,F,12,30
12,F,12,35
13,F,12,40
14,F,12,50
15,F,12,52.5
16,F,12,55
17,F,12,65
18,F,12,70
19,F,12,72.5
20,F,12,75
21,F,12,77.5
22,F,12,80
23,F,12,82.5
24,F,12,85
25,F,12,87.5
26,F,12,90
27,F,12,91.25
28,F,12,92.5
29,F,12,93.75
30,F,12,95
31,F,12,96
32,F,12,97
33,F,12,98
34,F,12,99
35,F,12,>99
36,F,12,>99
37,F,12,>99
38,F,12,>99
39,F,12,>99
40,F,12,>99
41,F,12,>99
42,F,12,>99
43,F,12,>99
44,F,12,>99
45,F,12,>99
1,F,13,<5
2,F,13,<5
3,F,13,<5
4,F,13,<5
5,F,13,<5
6,F,13,<5
7,F,13,5
8,F,13,7.5
9,F,13,10
10,F,13,12.5
11,F,13,15
12,F,13,20
13,F,13,25
14,F,13,27.5
15,F,13,30
16,F,13,35
17,F,13,40
18,F,13,45
19,F,13,50
20,F,13,51.667
21,F,13,53.333
22,F,13,60
23,F,13,65
24,F,13,67.5
25,F,13,70
26,F,13,75
27,F,13,77.5
28,F,13,85
29,F,13,87.5
30,F,13,90
31,F,13,91.25
32,F,13,92.5
33,F,13,93.75
34,F,13,95
35,F,13,96.25
36,F,13,97.5
37,F,13,98.75
38,F,13,99
39,F,13,>99
40,F,13,>99
41,F,13,>99
42,F,13,>99
43,F,13,>99
44,F,13,>99
45,F,13,>99
1,F,14,<5
2,F,14,<5
3,F,14,<5
4,F,14,<5
5,F,14,<5
6,F,14,<5
7,F,14,<5
8,F,14,<5
9,F,14,<5
10,F,14,<5
11,F,14,<5
12,F,14,<5
13,F,14,5
14,F,14,10
15,F,14,15
16,F,14,20
17,F,14,21.667
18,F,14,23.333
19,F,14,25
20,F,14,30
21,F,14,35
22,F,14,40
23,F,14,45
24,F,14,50
25,F,14,55
26,F,14,60
27,F,14,70
28,F,14,72.5
29,F,14,75
30,F,14,77.5
31,F,14,80
32,F,14,85
33,F,14,87.5
34,F,14,90
35,F,14,91.667
36,F,14,93.333
37,F,14,95
38,F,14,96.667
39,F,14,98.333
40,F,14,99
41,F,14,>99
42,F,14,>99
43,F,14,>99
44,F,14,>99
45,F,14,>99
1,F,15,<5
2,F,15,<5
3,F,15,<5
4,F,15,<5
5,F,15,<5
6,F,15,<5
7,F,15,<5
8,F,15,<5
9,F,15,<5
